price,accommodates,neighbourhood,bedrooms,beds,bathrooms,review_scores_rating,property_type,room_type,last_scraped
160.0,2,Brooklyn Heights,1.0,1.0,1.0,98.0,Apartment,Entire home/apt,2018-03-04
135.0,3,Park Slope,1.0,2.0,1.0,97.0,Apartment,Entire home/apt,2018-03-04
165.0,2,Crown Heights,2.0,1.0,1.0,100.0,Apartment,Entire home/apt,2018-03-04
130.0,1,Upper East Side,1.0,1.0,1.0,,Apartment,Private room,2018-03-04
83.0,2,Lower East Side,1.0,1.0,1.0,86.0,Apartment,Private room,2018-03-04
117.0,2,Alphabet City,1.0,1.0,1.0,95.0,Apartment,Private room,2018-03-04
190.0,2,Williamsburg,1.0,1.0,1.0,90.0,Apartment,Entire home/apt,2018-03-04
119.0,2,Chelsea,1.0,1.0,1.0,92.0,Apartment,Private room,2018-03-06
40.0,2,Lefferts Garden,1.0,1.0,2.0,91.0,Townhouse,Private room,2018-03-04
55.0,2,Jamaica,1.0,1.0,1.0,88.0,House,Private room,2018-03-04
58.0,2,Jamaica,1.0,1.0,1.0,92.0,House,Private room,2018-03-04
155.0,4,Astoria,2.0,2.0,1.0,87.0,Apartment,Entire home/apt,2018-03-04
35.0,2,Lefferts Garden,1.0,1.0,2.0,92.0,Apartment,Private room,2018-03-04
65.0,2,Greenwood Heights,1.0,1.0,1.0,94.0,Apartment,Private room,2018-03-04
225.0,6,Crown Heights,3.0,3.0,1.0,92.0,Apartment,Entire home/apt,2018-03-04
195.0,2,Hell's Kitchen,1.0,2.0,1.0,60.0,Apartment,Entire home/apt,2018-03-04
80.0,3,Bedford-Stuyvesant,3.0,2.0,1.0,98.0,Apartment,Private room,2018-03-05
98.0,3,Middle Village,1.0,1.0,1.0,87.0,Apartment,Entire home/apt,2018-03-05
165.0,7,Ridgewood,2.0,1.0,1.0,80.0,Apartment,Entire home/apt,2018-03-05
265.0,12,Middle Village,4.0,6.0,2.0,93.0,House,Entire home/apt,2018-03-04
69.0,5,Upper West Side,2.0,3.0,1.0,90.0,Apartment,Entire home/apt,2018-03-05
99.0,2,East Village,1.0,1.0,1.0,89.0,Apartment,Private room,2018-03-04
60.0,3,Flatbush,0.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-04
190.0,4,Greenwood Heights,2.0,2.0,1.0,,Apartment,Entire home/apt,2018-03-04
249.0,5,Williamsburg,2.0,2.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
75.0,1,Williamsburg,1.0,1.0,1.0,,Apartment,Private room,2018-03-04
105.0,1,Hell's Kitchen,1.0,1.0,1.0,90.0,Apartment,Shared room,2018-03-04
100.0,2,Prospect Heights,1.0,1.0,1.0,91.0,Bed and breakfast,Private room,2018-03-04
140.0,4,Harlem,1.0,3.0,1.0,93.0,Apartment,Entire home/apt,2018-03-04
42.0,2,Highbridge,1.0,1.0,1.5,96.0,House,Private room,2018-03-04
55.0,2,Jamaica,1.0,1.0,1.0,87.0,House,Private room,2018-03-04
100.0,2,East Harlem,1.0,1.0,1.0,96.0,Bed and breakfast,Private room,2018-03-04
90.0,4,Harlem,1.0,1.0,1.0,95.0,Apartment,Entire home/apt,2018-03-05
140.0,2,Williamsburg,1.0,1.0,1.0,98.0,House,Entire home/apt,2018-03-04
115.0,2,Bushwick,1.0,1.0,1.0,91.0,Apartment,Entire home/apt,2018-03-05
